duration,vowel_group,age,gender,accent
0.08,central,fifties,female_feminine,no_info
0.1,central,fifties,female_feminine,no_info
0.04,back,fifties,female_feminine,no_info
0.11,back,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.07,central,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.14,back,fifties,female_feminine,no_info
0.09,back,fifties,female_feminine,no_info
0.08,back,fifties,female_feminine,no_info
0.04,back,fifties,female_feminine,no_info
0.11,back,fifties,female_feminine,no_info
0.05,back,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.04,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.11,front,fifties,female_feminine,no_info
0.08,central,fifties,female_feminine,no_info
0.04,front,fifties,female_feminine,no_info
0.05,front,fifties,female_feminine,no_info
0.07,front,fifties,female_feminine,no_info
0.13,front,fifties,female_feminine,no_info
0.1,front,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.1,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.09,back,fifties,female_feminine,no_info
0.04,back,fifties,female_feminine,no_info
0.05,back,fifties,female_feminine,no_info
0.08,back,fifties,female_feminine,no_info
0.11,back,fifties,female_feminine,no_info
0.08,back,fifties,female_feminine,no_info
0.04,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.03,front,fifties,female_feminine,no_info
0.05,front,fifties,female_feminine,no_info
0.09,back,fifties,female_feminine,no_info
0.374,back,fifties,female_feminine,no_info
0.03,front,fifties,female_feminine,no_info
0.03,central,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.04,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.06,back,fifties,female_feminine,no_info
4.01,back,fifties,female_feminine,no_info
0.08,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.08,back,fifties,female_feminine,no_info
0.09,back,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.04,front,fifties,female_feminine,no_info
0.21,front,fifties,female_feminine,no_info
0.12,back,fifties,female_feminine,no_info
0.17,back,fifties,female_feminine,no_info
0.28,back,fifties,female_feminine,no_info
0.13,front,fifties,female_feminine,no_info
0.07,front,fifties,female_feminine,no_info
0.08,back,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.13,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.21,back,fifties,female_feminine,no_info
0.06,back,fifties,female_feminine,no_info
0.13,back,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.13,central,fifties,female_feminine,no_info
0.2,front,fifties,female_feminine,no_info
0.04,back,fifties,female_feminine,no_info
0.06,back,fifties,female_feminine,no_info
0.05,back,fifties,female_feminine,no_info
0.06,back,fifties,female_feminine,no_info
0.07,back,fifties,female_feminine,no_info
0.03,front,fifties,female_feminine,no_info
0.11,central,fifties,female_feminine,no_info
0.12,central,fifties,female_feminine,no_info
0.05,back,fifties,female_feminine,no_info
0.07,central,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.078,back,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.09,central,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.11,back,fifties,female_feminine,no_info
0.03,back,fifties,female_feminine,no_info
0.06,front,fifties,female_feminine,no_info
0.1,central,fifties,female_feminine,no_info
0.14,central,fifties,female_feminine,no_info
0.14,back,fifties,female_feminine,no_info
0.12,back,fifties,female_feminine,no_info
