combined_len,age,gender,accent
0.23,fifties,female_feminine,no_info
0.21,fifties,female_feminine,no_info
0.17,fifties,female_feminine,no_info
0.13,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.27,fifties,female_feminine,no_info
0.21,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.07,fifties,female_feminine,no_info
0.17,fifties,female_feminine,no_info
0.08,fifties,female_feminine,no_info
0.37,fifties,female_feminine,no_info
0.21,fifties,female_feminine,no_info
0.27,fifties,female_feminine,no_info
0.21,fifties,female_feminine,no_info
0.19,fifties,female_feminine,no_info
0.11,fifties,female_feminine,no_info
0.284,fifties,female_feminine,no_info
0.15,fifties,female_feminine,no_info
0.23,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.16,fifties,female_feminine,no_info
0.15,fifties,female_feminine,no_info
0.09,fifties,female_feminine,no_info
0.09,fifties,female_feminine,no_info
0.15,fifties,female_feminine,no_info
0.2,fifties,female_feminine,no_info
0.17,fifties,female_feminine,no_info
0.19,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.12,fifties,female_feminine,no_info
0.06,fifties,female_feminine,no_info
1.32,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.11,fifties,female_feminine,no_info
0.1,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.2,fifties,female_feminine,no_info
0.19,fifties,female_feminine,no_info
0.17,fifties,female_feminine,no_info
0.15,fifties,female_feminine,no_info
0.2,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.25,fifties,female_feminine,no_info
0.28,fifties,female_feminine,no_info
0.45,fifties,female_feminine,no_info
0.43,fifties,female_feminine,no_info
0.2,fifties,female_feminine,no_info
0.13,fifties,female_feminine,no_info
0.12,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.16,fifties,female_feminine,no_info
0.19,fifties,female_feminine,no_info
0.27,fifties,female_feminine,no_info
0.12,fifties,female_feminine,no_info
0.16,fifties,female_feminine,no_info
0.06,fifties,female_feminine,no_info
0.06,fifties,female_feminine,no_info
0.06,fifties,female_feminine,no_info
0.2,fifties,female_feminine,no_info
0.23,fifties,female_feminine,no_info
0.12,fifties,female_feminine,no_info
0.13,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.11,fifties,female_feminine,no_info
0.17,fifties,female_feminine,no_info
0.06,fifties,female_feminine,no_info
0.21,fifties,female_feminine,no_info
0.19,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.23,fifties,female_feminine,no_info
0.08,fifties,female_feminine,no_info
0.1,fifties,female_feminine,no_info
0.1,fifties,female_feminine,no_info
0.17,fifties,female_feminine,no_info
0.16,fifties,female_feminine,no_info
0.06,fifties,female_feminine,no_info
0.11,fifties,female_feminine,no_info
0.16,fifties,female_feminine,no_info
0.3,fifties,female_feminine,no_info
0.21,fifties,female_feminine,no_info
0.17,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.11,fifties,female_feminine,no_info
0.22,fifties,female_feminine,no_info
0.08,fifties,female_feminine,no_info
0.13,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.16,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.14,fifties,female_feminine,no_info
0.23,fifties,female_feminine,no_info
0.13,fifties,female_feminine,no_info
0.18,fifties,female_feminine,no_info
0.13,fifties,female_feminine,no_info
0.15,fifties,female_feminine,no_info
0.15,fifties,female_feminine,no_info
0.13,fifties,female_feminine,no_info
0.2,fifties,female_feminine,no_info
0.19,fifties,female_feminine,no_info
0.12,fifties,female_feminine,no_info
