duration,consonant_group,age,gender,accent
0.92,other,fifties,female_feminine,no_info
0.15,approximants,fifties,female_feminine,no_info
0.07,stops,fifties,female_feminine,no_info
0.11,nasals,fifties,female_feminine,no_info
0.12,fricatives,fifties,female_feminine,no_info
0.13,nasals,fifties,female_feminine,no_info
0.05,stops,fifties,female_feminine,no_info
0.07,approximants,fifties,female_feminine,no_info
0.05,stops,fifties,female_feminine,no_info
0.11,nasals,fifties,female_feminine,no_info
0.1,other,fifties,female_feminine,no_info
0.11,other,fifties,female_feminine,no_info
0.24,stops,fifties,female_feminine,no_info
0.07,nasals,fifties,female_feminine,no_info
0.09,approximants,fifties,female_feminine,no_info
0.12,stops,fifties,female_feminine,no_info
0.06,approximants,fifties,female_feminine,no_info
0.14,fricatives,fifties,female_feminine,no_info
0.03,approximants,fifties,female_feminine,no_info
0.06,stops,fifties,female_feminine,no_info
0.11,fricatives,fifties,female_feminine,no_info
0.03,approximants,fifties,female_feminine,no_info
0.34,nasals,fifties,female_feminine,no_info
0.03,other,fifties,female_feminine,no_info
0.17,nasals,fifties,female_feminine,no_info
0.2,stops,fifties,female_feminine,no_info
0.1,approximants,fifties,female_feminine,no_info
0.09,other,fifties,female_feminine,no_info
0.11,stops,fifties,female_feminine,no_info
0.07,approximants,fifties,female_feminine,no_info
0.1,stops,fifties,female_feminine,no_info
0.234,stops,fifties,female_feminine,no_info
0.76,stops,fifties,female_feminine,no_info
0.08,stops,fifties,female_feminine,no_info
0.1,other,fifties,female_feminine,no_info
0.07,approximants,fifties,female_feminine,no_info
0.08,stops,fifties,female_feminine,no_info
0.08,nasals,fifties,female_feminine,no_info
0.11,fricatives,fifties,female_feminine,no_info
0.09,stops,fifties,female_feminine,no_info
0.06,stops,fifties,female_feminine,no_info
0.05,approximants,fifties,female_feminine,no_info
0.04,approximants,fifties,female_feminine,no_info
0.04,other,fifties,female_feminine,no_info
0.04,approximants,fifties,female_feminine,no_info
0.12,stops,fifties,female_feminine,no_info
0.12,fricatives,fifties,female_feminine,no_info
0.13,nasals,fifties,female_feminine,no_info
0.05,stops,fifties,female_feminine,no_info
0.12,other,fifties,female_feminine,no_info
0.15,nasals,fifties,female_feminine,no_info
0.09,stops,fifties,female_feminine,no_info
0.11,other,fifties,female_feminine,no_info
0.03,other,fifties,female_feminine,no_info
0.06,fricatives,fifties,female_feminine,no_info
0.03,fricatives,fifties,female_feminine,no_info
0.03,nasals,fifties,female_feminine,no_info
1.29,stops,fifties,female_feminine,no_info
0.12,other,fifties,female_feminine,no_info
0.05,nasals,fifties,female_feminine,no_info
0.16,stops,fifties,female_feminine,no_info
0.06,approximants,fifties,female_feminine,no_info
0.12,other,fifties,female_feminine,no_info
0.11,nasals,fifties,female_feminine,no_info
0.13,approximants,fifties,female_feminine,no_info
0.13,other,fifties,female_feminine,no_info
0.06,stops,fifties,female_feminine,no_info
0.09,approximants,fifties,female_feminine,no_info
0.09,nasals,fifties,female_feminine,no_info
0.08,stops,fifties,female_feminine,no_info
0.12,fricatives,fifties,female_feminine,no_info
0.05,stops,fifties,female_feminine,no_info
0.08,approximants,fifties,female_feminine,no_info
0.1,stops,fifties,female_feminine,no_info
0.21,nasals,fifties,female_feminine,no_info
0.06,nasals,fifties,female_feminine,no_info
0.16,nasals,fifties,female_feminine,no_info
0.28,approximants,fifties,female_feminine,no_info
0.15,stops,fifties,female_feminine,no_info
0.05,other,fifties,female_feminine,no_info
0.07,other,fifties,female_feminine,no_info
0.06,stops,fifties,female_feminine,no_info
0.04,approximants,fifties,female_feminine,no_info
0.13,nasals,fifties,female_feminine,no_info
0.15,nasals,fifties,female_feminine,no_info
0.07,other,fifties,female_feminine,no_info
0.09,stops,fifties,female_feminine,no_info
0.12,nasals,fifties,female_feminine,no_info
0.09,other,fifties,female_feminine,no_info
0.06,stops,fifties,female_feminine,no_info
0.06,approximants,fifties,female_feminine,no_info
0.03,approximants,fifties,female_feminine,no_info
0.06,other,fifties,female_feminine,no_info
0.03,stops,fifties,female_feminine,no_info
0.03,fricatives,fifties,female_feminine,no_info
0.03,stops,fifties,female_feminine,no_info
0.03,nasals,fifties,female_feminine,no_info
0.12,approximants,fifties,female_feminine,no_info
0.07,approximants,fifties,female_feminine,no_info
0.03,stops,fifties,female_feminine,no_info
0.08,fricatives,fifties,female_feminine,no_info
